,train_accuracy,train_precision,train_recall,train_f1_score,train_auc_roc,train_tp,train_tn,train_fp,train_fn,val_accuracy,val_precision,val_recall,val_f1_score,val_auc_roc,val_tp,val_tn,val_fp,val_fn,test_accuracy,test_precision,test_recall,test_f1_score,test_auc_roc,test_tp,test_tn,test_fp,test_fn,static_C,static_kernel,static_gamma,static_probability,static_class_weight,static_random_state,final_C,final_kernel,final_gamma,final_probability,final_class_weight,final_random_state,static_degree,final_degree,static_break_ties,static_cache_size,static_coef0,static_decision_function_shape,static_max_iter,static_shrinking,static_tol,static_verbose,final_break_ties,final_cache_size,final_coef0,final_decision_function_shape,final_max_iter,final_shrinking,final_tol,final_verbose,static_n_estimators,static_max_depth,static_min_samples_split,static_min_samples_leaf,static_max_features,static_criterion,final_n_estimators,final_max_depth,final_min_samples_split,final_min_samples_leaf,final_max_features,final_criterion,static_bootstrap,static_ccp_alpha,static_max_leaf_nodes,static_max_samples,static_min_impurity_decrease,static_min_weight_fraction_leaf,static_monotonic_cst,static_n_jobs,static_oob_score,static_warm_start,final_bootstrap,final_ccp_alpha,final_max_leaf_nodes,final_max_samples,final_min_impurity_decrease,final_min_weight_fraction_leaf,final_monotonic_cst,final_n_jobs,final_oob_score,final_warm_start,static_num_leaves,static_min_child_samples,static_subsample,static_colsample_bytree,static_learning_rate,static_reg_alpha,static_reg_lambda,final_num_leaves,final_min_child_samples,final_subsample,final_colsample_bytree,final_learning_rate,final_reg_alpha,final_reg_lambda,static_boosting_type,static_importance_type,static_min_child_weight,static_min_split_gain,static_objective,static_subsample_for_bin,static_subsample_freq,final_boosting_type,final_importance_type,final_min_child_weight,final_min_split_gain,final_objective,final_subsample_for_bin,final_subsample_freq
svm_1,0.8664596273291926,0.866647898907011,0.8664596273291926,0.8660085261537739,0.9286543885847022,322,236,51,35,0.855072463768116,0.8571219440784659,0.855072463768116,0.8553784763023894,0.9017402376910016,64,54,8,12,0.8333333333333334,0.8338748104829976,0.8333333333333334,0.8324858605862727,0.9081069609507639,67,48,14,9,1.0,rbf,scale,True,balanced,0.0,1.0,rbf,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_2,0.8307453416149069,0.8304977945809703,0.8307453416149069,0.8303758777804704,0.8940161430425829,308,227,60,49,0.8623188405797102,0.8625994939038416,0.8623188405797102,0.8624136673385162,0.9015280135823429,66,53,9,10,0.8333333333333334,0.8369959304476507,0.8333333333333334,0.8314699792960661,0.8941001697792869,69,46,16,7,0.2,,,True,balanced,0.0,0.2,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_3,0.8773291925465838,0.8774076440769553,0.8773291925465838,0.877004654665363,0.9413814306210287,324,241,46,33,0.8478260869565217,0.8507736882031971,0.8478260869565217,0.8481872020800231,0.9017402376910016,63,54,8,13,0.8478260869565217,0.8478120948107795,0.8478260869565217,0.8474122842604291,0.9076825127334465,67,50,12,9,1.5,,,True,balanced,0.0,1.5,,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_4,0.8183229813664596,0.8181644213104715,0.8183229813664596,0.8182257986922974,0.8617007778721245,300,227,60,57,0.8478260869565217,0.8529720646922915,0.8478260869565217,0.8482186387722169,0.8858234295415959,62,55,7,14,0.8260869565217391,0.8270527192849567,0.8260869565217391,0.8249675848623639,0.8930390492359932,67,47,15,9,,linear,,True,balanced,0.0,,linear,,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_5,0.7267080745341615,0.7284355313698497,0.7267080745341615,0.7272286305826678,0.8015596482495436,262,206,81,95,0.7463768115942029,0.7495376759801726,0.7463768115942029,0.7469786701333717,0.8120755517826824,56,47,15,20,0.7318840579710145,0.7350753885197405,0.7318840579710145,0.7325203084267075,0.7943548387096775,55,46,16,21,,poly,,True,balanced,0.0,,poly,,True,balanced,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_6,0.8959627329192547,0.8995828403825298,0.8959627329192547,0.895015676840719,0.9683483149357304,341,236,51,16,0.7391304347826086,0.7385544407283539,0.7391304347826086,0.7386861178735734,0.8392402376910016,59,43,19,17,0.7753623188405797,0.781345855391497,0.7753623188405797,0.7710572232311362,0.861842105263158,67,40,22,9,,poly,,True,balanced,0.0,,poly,,True,balanced,0.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_7,0.8788819875776398,0.8789183457051961,0.8788819875776398,0.8785898880211963,0.9428551908568306,324,242,45,33,0.8695652173913043,0.8702629259694478,0.8695652173913043,0.8697308488612836,0.901528013582343,66,54,8,10,0.8405797101449275,0.8407921039480261,0.8405797101449275,0.8399665551839466,0.9087436332767401,67,49,13,9,,,auto,True,balanced,0.0,,,auto,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_8,0.8664596273291926,0.866647898907011,0.8664596273291926,0.8660085261537739,0.9286543885847022,322,236,51,35,0.855072463768116,0.8571219440784659,0.855072463768116,0.8553784763023894,0.9017402376910016,64,54,8,12,0.8333333333333334,0.8338748104829976,0.8333333333333334,0.8324858605862727,0.9081069609507639,67,48,14,9,,,scale,True,balanced,0.0,,,scale,True,balanced,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_9,0.8850931677018633,0.8850192446860972,0.8850931677018633,0.8849177082318154,0.9462955914072946,324,246,41,33,0.8115942028985508,0.8124143164904034,0.8115942028985508,0.8118334483551874,0.8904923599320882,62,50,12,14,0.8115942028985508,0.8115317341329336,0.8115942028985508,0.8108695652173914,0.8765916808149405,65,47,15,11,,poly,auto,True,balanced,0.0,,poly,auto,True,balanced,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svm_10,0.8664596273291926,0.8663340212082227,0.8664596273291926,0.8663630433720246,0.9335441493670639,316,242,45,41,0.7971014492753623,0.7992973210364516,0.7971014492753623,0.7975298668233451,0.8897495755517826,60,50,12,16,0.8405797101449275,0.8417916477301419,0.8405797101449275,0.839553619457167,0.8917657045840407,68,48,14,8,,poly,scale,True,balanced,0.0,,poly,scale,True,balanced,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
